symbol,direction,entry,sl,tp1,pnl,date
M6A.F,short,0.7093,0.7193,0.6793,600.0,2026-04-07
M6A.F,short,0.7121,0.7221,0.6821,600.0,2026-04-08
M6A.F,short,0.7168,0.7268,0.6868,600.0,2026-04-09
M6A.F,long,0.7108,0.7008,0.7408,600.0,2026-04-23
M6A.F,long,0.7149,0.7049,0.7449,600.0,2026-04-28
SIL.F,long,61.362,21.362,181.362,600.0,2025-12-08
SIL.F,long,62.94,22.94,182.94,600.0,2025-12-09
SIL.F,long,62.7,22.7,182.7,600.0,2025-12-10
SIL.F,long,64.592,24.592,184.592,600.0,2025-12-12
SIL.F,long,66.845,26.845,186.845,600.0,2025-12-15
SIL.F,long,67.906,27.906,187.906,600.0,2025-12-16
SIL.F,long,71.031,31.031,191.031,600.0,2025-12-18
SIL.F,long,69.856,29.856,189.856,600.0,2025-12-22
SIL.F,long,70.134,30.134,190.134,600.0,2025-12-24
SIL.F,long,70.556,30.556,190.556,600.0,2025-12-26
SIL.F,long,76.164,36.164,196.164,600.0,2025-12-29
SIL.F,long,77.135,37.135,197.135,600.0,2025-12-31
SIL.F,long,74.716,34.716,194.716,600.0,2026-01-02
SIL.F,long,78.884,38.884,198.884,600.0,2026-01-05
SIL.F,long,88.091,48.091,208.091,600.0,2026-01-12
SIL.F,long,92.21,52.21,212.21,600.0,2026-01-14
SIL.F,long,95.976,55.976,215.976,600.0,2026-01-15
SIL.F,long,105.523,65.523,225.523,600.0,2026-01-21
SIL.F,long,78.29,38.29,198.29,600.0,2026-01-26
SIL.F,long,76.778,36.778,196.778,600.0,2026-01-27
SIL.F,long,83.042,43.042,203.042,600.0,2026-01-28
SIL.F,long,84.165,44.165,204.165,600.0,2026-01-29
SIL.F,long,76.529,36.529,196.529,600.0,2026-01-30
SIL.F,long,76.735,36.735,196.735,600.0,2026-02-02
SIL.F,long,82.065,42.065,202.065,600.0,2026-02-03
SIL.F,long,80.218,40.218,200.218,600.0,2026-02-04
